snippet_key,category_id,tag_ids,notes
195,CAT_006,TERM_020|TERM_010|TERM_054|TERM_056,Primary subject is the Sindhi new year festival Cheti Chand and worship of Jhulelal
196,CAT_006,TERM_020|TERM_069|TERM_030|TERM_056,Primary subject is the Baisakhi festival and the founding of the Khalsa panth in Sikh history
197,CAT_006,TERM_020|TERM_008|TERM_054|TERM_062,Primary subject is the Parsi new year festival Navroz/Pateti and calendar systems
198,CAT_006,TERM_020|TERM_062|TERM_027|TERM_056,Primary subject is the Kashmiri new year Navreh festival and worship of Ma Sharika
199,CAT_006,TERM_020|TERM_062|TERM_056|TERM_008,Primary subject is the Gujarati new year festival Bestu Varas and its customs
200,CAT_006,TERM_020|TERM_021|TERM_056|TERM_062,Primary subject is the tribal Sarhul spring new year festival of Jharkhand
201,CAT_005,TERM_008|TERM_020|TERM_067|TERM_026,Primary subject is the astronomical spring equinox basis of Indian new years
202,CAT_005,TERM_008|TERM_030|TERM_037|TERM_018,Primary subject is the Saka and Vikram calendar eras and their historical basis
203,CAT_005,TERM_008|TERM_045|TERM_067|TERM_062,Primary subject is the luni-solar calendar adjustment via adhikmaas (intercalary month)
159,CAT_001,TERM_027|TERM_051|TERM_031|TERM_020,"Primary subject is Randal Maa as wife of Surya, her mythology and iconography"
160,CAT_006,TERM_020|TERM_070|TERM_056,Primary subject is the Makar Sankranti/Uttarayan kite flying celebration
161,CAT_005,TERM_003|TERM_053|TERM_031|TERM_056,Primary subject is neolithic rock painting depiction of Surya at Singanpur
162,CAT_007,TERM_068|TERM_031|TERM_013|TERM_012,Primary subject is the earliest sculptural depictions of Surya in Bhaja caves and Bodh Gaya
163,CAT_005,TERM_008|TERM_020|TERM_067,Primary subject is the astronomical meaning of makar (Capricorn) in Makar Sankranti
164,CAT_005,TERM_008|TERM_020|TERM_067|TERM_030,Primary subject is dating the origin of Makar Sankranti via precession astronomy
165,CAT_006,TERM_020|TERM_062|TERM_002|TERM_056,Primary subject is the Tamil Pongal harvest festival and its meaning
166,CAT_010,TERM_074|TERM_047|TERM_063|TERM_064,Primary subject is the Gangasagar Mela pilgrimage at the Ganga delta
167,CAT_006,TERM_070|TERM_020|TERM_002|TERM_003,Primary subject is the Jallikattu bull-taming sport during Sankranti
168,CAT_001,TERM_027|TERM_036|TERM_034|TERM_064,Primary subject is the unique association of Surya with knowledge in Indian civilization
169,CAT_001,TERM_027|TERM_051|TERM_034|TERM_031,Primary subject is the theological evolution of Vishnu from a Rig Vedic form of Surya
170,CAT_002,TERM_034|TERM_027|TERM_064|TERM_009,Primary subject is the Aditya Hridaya Stotram from the Ramayana
402,CAT_009,TERM_030|TERM_037|TERM_058|TERM_056,Primary subject is the accession of the princely state of Junagadh to India
403,CAT_009,TERM_030|TERM_037|TERM_058|TERM_056,Primary subject is the Bhopal ruler's bid to stay independent during integration
404,CAT_009,TERM_030|TERM_037|TERM_058|TERM_056,Primary subject is the princely state of Travancore and its accession
405,CAT_009,TERM_030|TERM_037|TERM_058|TERM_056,Primary subject is the Jodhpur Maharaja's decision during the integration of states
406,CAT_009,TERM_030|TERM_037|TERM_058|TERM_056,Primary subject is the Indore ruler's reluctant Instrument of Accession
