snippet_key,category_id,tag_ids,notes
654,CAT_002,TERM_034|TERM_051|TERM_030,"Mahabharata episode of Bhima's disguise as cook during Agyatavasa — Itihasa narrative"
655,CAT_002,TERM_034|TERM_051|TERM_015,"Mahabharata episode of Arjuna teaching dance/music in Virata's court — Itihasa with dance/music detail"
656,CAT_002,TERM_034|TERM_051|TERM_077,"Mahabharata episode of Pandavas hiding weapons on Shami tree during Agyatavasa"
657,CAT_002,TERM_034|TERM_051|TERM_077,"Symbolism of weapons hidden as a corpse reflecting lost kshatriya identity — Itihasa interpretation"
658,CAT_002,TERM_034|TERM_051|TERM_076,"Mahabharata character Kichaka, Sudheshana's brother and Virata's commander"
659,CAT_002,TERM_034|TERM_051|TERM_078,"Mahabharata episode of Bhima killing Kichaka to protect Draupadi"
660,CAT_002,TERM_034|TERM_051|TERM_078,"Mahabharata episode of Draupadi as Sairandhri during Agyatavasa"
661,CAT_002,TERM_034|TERM_051|TERM_030,"Mahabharata episode of Duryodhana stealing Virata's cows to flush out Pandavas"
662,CAT_002,TERM_034|TERM_051|TERM_037,"Mahabharata character Uttarakumara, the boastful prince of Matsya"
695,CAT_002,TERM_034|TERM_051|TERM_009,"Mahabharata war episode — Kripacharya advising Duryodhana to surrender"
696,CAT_002,TERM_034|TERM_051|TERM_009,"Mahabharata episode of Shalya's death and adharma over dharma"
697,CAT_002,TERM_034|TERM_051|TERM_008,"Mahabharata episode of Bhishma's boon to choose his death awaiting Uttarayana"
698,CAT_002,TERM_034|TERM_051|TERM_009,"Mahabharata episode of Duryodhana hiding in Dvaipayana lake using Jalasthambana"
699,CAT_002,TERM_034|TERM_051|TERM_027,"Mahabharata episode of Yudishtira's rash offer to Duryodhana and Krishna's rebuke"
700,CAT_002,TERM_034|TERM_051|TERM_077,"Mahabharata episode of Duryodhana choosing the mace (Gadha) for the final duel"
701,CAT_002,TERM_034|TERM_051|TERM_009,"Mahabharata episode of Duryodhana's death and the broken-thigh versions"
702,CAT_002,TERM_034|TERM_051|TERM_009,"Mahabharata episode of fallen Duryodhana appointing Ashwathama as commander"
703,CAT_002,TERM_034|TERM_051|TERM_009,"Mahabharata episode of Ashwathama's night massacre of Dhrishtadyumna and upapandavas"
704,CAT_002,TERM_034|TERM_051|TERM_037,"Mahabharata episode — Parikshit (Abhimanyu's unborn son) surviving as heir"
705,CAT_002,TERM_034|TERM_027|TERM_051,"Mahabharata episode of Krishna's protection of Arjuna's chariot revealed after war"
706,CAT_002,TERM_034|TERM_077|TERM_051,"Mahabharata episode of Bheema chasing Ashwathama and the Brahmashirastra; birth of Parikshit"
707,CAT_002,TERM_034|TERM_051|TERM_027,"Mahabharata episode of Krishna cursing Ashwathama to suffering immortality"
708,CAT_002,TERM_034|TERM_051|TERM_027,"Mahabharata episode of Dhritarashtra crushing the iron statue of Bheema"
709,CAT_002,TERM_034|TERM_011|TERM_063,"Mahabharata episode on Shanti Parva, the longest parva, with Ganga taking Bhishma"
710,CAT_002,TERM_034|TERM_051|TERM_062,"Mahabharata episode of Babruvahana defeating Arjuna during Ashwamedha Yaga"
711,CAT_002,TERM_034|TERM_051|TERM_006,"Mahabharata episode of Kunti, Gandhari and Dhritarashtra dying in vanaprastha forest fire"
712,CAT_002,TERM_034|TERM_051|TERM_064,"Mahabharata episode of Samba mocking the rishis disguised as a pregnant woman"
713,CAT_002,TERM_034|TERM_064|TERM_051,"Mahabharata episode of the rishis' curse on Samba leading to the Yadava destruction"
714,CAT_002,TERM_034|TERM_027|TERM_051,"Mahabharata episode of the death of Krishna and Balarama"
715,CAT_002,TERM_034|TERM_051|TERM_009,"Mahabharata episode of Arjuna's decline after Krishna's death and Dwarka's submergence"
716,CAT_002,TERM_034|TERM_051|TERM_037,"Mahabharata episode of Vajra and Parikshit being coronated as kings"
717,CAT_002,TERM_034|TERM_051|TERM_048,"Mahabharata episode of Swargaarohana — Pandavas climbing the Himalayas to exit the world"
718,CAT_003,TERM_034|TERM_055|TERM_011,"Concluding moral lesson of Mahabharata on dharma and shanti — philosophy of the epic"
677,CAT_002,TERM_034|TERM_009|TERM_051,"Mahabharata war parvas named after Kaurava commanders"
678,CAT_002,TERM_034|TERM_076|TERM_051,"Mahabharata — Dhrishtadyumna as Pandava commander, born of fire sacrifice"
679,CAT_002,TERM_034|TERM_051|TERM_076,"Mahabharata — reasons Bhishma was chosen Kaurava commander and the Gita context"
