snippet_key,category_id,tag_ids,notes
444,CAT_005,TERM_046|TERM_067|TERM_030|TERM_075,"Primary subject is the ancient Indian smallpox inoculation technique (tikah) as applied medical science"
732,CAT_009,TERM_037|TERM_078|TERM_030|TERM_071,"Primary subject is the birth and origins of Queen Ahilyabai Holkar"
733,CAT_009,TERM_037|TERM_076|TERM_030|TERM_018,"Primary subject is Malhar Rao Holkar as Ahilyabai's mentor and his role in the dynasty"
734,CAT_009,TERM_037|TERM_078|TERM_043|TERM_030,"Primary subject is Ahilyabai's child marriage into the Holkar family"
735,CAT_009,TERM_037|TERM_018|TERM_030|TERM_078,"Primary subject is the succession of the Holkar line after Ahilyabai"
736,CAT_009,TERM_037|TERM_018|TERM_030|TERM_078,"Primary subject is Ahilyabai's reign across the era of multiple Peshwas"
737,CAT_009,TERM_037|TERM_056|TERM_075|TERM_030,"Primary subject is Malhar Rao establishing his rule and developing Indore"
738,CAT_009,TERM_037|TERM_056|TERM_063|TERM_078,"Primary subject is Ahilyabai founding her capital at Maheshwar on the Narmada"
739,CAT_009,TERM_005|TERM_075|TERM_078|TERM_037,"Primary subject is Ahilyabai's promotion of Maheshwari weaving and textiles"
740,CAT_009,TERM_037|TERM_071|TERM_078|TERM_056,"Primary subject is Ahilyabai's reconstruction of the Kashi Vishwanath temple and Varanasi works"
741,CAT_009,TERM_037|TERM_078|TERM_030|TERM_056,"Primary subject is the death of Ahilyabai and her memorial at Maheshwar"
742,CAT_009,TERM_037|TERM_076|TERM_009|TERM_078,"Primary subject is Khande Rao, Ahilyabai's husband, and his death in battle"
743,CAT_009,TERM_037|TERM_078|TERM_062|TERM_030,"Primary subject is Ahilyabai being dissuaded from committing Sati"
744,CAT_009,TERM_037|TERM_078|TERM_058|TERM_030,"Primary subject is Ahilyabai administering the state in Malhar Rao's absence"
745,CAT_009,TERM_037|TERM_018|TERM_030|TERM_076,"Primary subject is the short reign of Maley Rao as Sardar of Malwa"
746,CAT_009,TERM_037|TERM_076|TERM_009|TERM_078,"Primary subject is Ahilyabai as a warrior crushing the Rajput Chandravat revolt"
747,CAT_013,TERM_078|TERM_062|TERM_040|TERM_037,"Primary subject is Ahilyabai's measures protecting widows and reducing Sati as a social reform"
748,CAT_009,TERM_037|TERM_060|TERM_058|TERM_078,"Primary subject is Ahilyabai's handling of the Bhil tribals through force and rehabilitation"
749,CAT_009,TERM_037|TERM_058|TERM_040|TERM_078,"Primary subject is Ahilyabai's renowned governance, taxation and justice system"
750,CAT_009,TERM_037|TERM_078|TERM_030|TERM_018,"Primary subject is the personal struggles and losses of Ahilyabai's life"
751,CAT_013,TERM_033|TERM_040|TERM_030|TERM_037,"Primary subject is the Khasgi Trust managing Ahilyabai's charitable properties and its legal disputes"
752,CAT_009,TERM_078|TERM_043|TERM_037|TERM_030,"Primary subject is Harkuaai, Malhar Rao's sword-married wife and companion to Ahilyabai"
753,CAT_009,TERM_037|TERM_018|TERM_030|TERM_078,"Primary subject is Maley Rao, the only son of Ahilyabai"
754,CAT_009,TERM_037|TERM_043|TERM_078|TERM_030,"Primary subject is Khanderao, Ahilyabai's husband, and her unhappy marriage"
755,CAT_009,TERM_037|TERM_018|TERM_030|TERM_058,"Primary subject is Tukoji, Ahilyabai's adopted son and Subedar"
756,CAT_009,TERM_037|TERM_043|TERM_030|TERM_078,"Primary subject is Yashwant Phanse, Ahilyabai's son-in-law and potential successor"
757,CAT_009,TERM_037|TERM_030|TERM_062|TERM_078,"Primary subject is Nathoba, Ahilyabai's grandson, and his early death"
758,CAT_009,TERM_037|TERM_058|TERM_030|TERM_018,"Primary subject is Gangoba Tatya, the Holkar accountant trusted by Ahilyabai"
759,CAT_009,TERM_037|TERM_009|TERM_018|TERM_030,"Primary subject is the appointment of Maley Rao as Sardar after Malhar Rao's death"
760,CAT_009,TERM_037|TERM_009|TERM_058|TERM_078,"Primary subject is Raghunath Rao's attempt to overthrow Holkar rule and Ahilyabai's defence"
761,CAT_009,TERM_037|TERM_043|TERM_058|TERM_078,"Primary subject is Yashwant Rao Phanse winning Mukta's hand by controlling bandits"
762,CAT_010,TERM_056|TERM_037|TERM_030|TERM_078,"Primary subject is the city renamed Ahilyanagar and Ahilyabai's birthplace"
763,CAT_009,TERM_037|TERM_056|TERM_033|TERM_030,"Primary subject is the Indore airport named after Ahilyabai and other namesake airports"
764,CAT_009,TERM_078|TERM_011|TERM_073|TERM_037,"Primary subject is Sumitra Mahajan, who wrote a book on Ahilyabai"
765,CAT_010,TERM_074|TERM_071|TERM_037|TERM_018,"Primary subject is the Maratha and Ahilyabai revival of pilgrimage centres"
766,CAT_009,TERM_056|TERM_055|TERM_073|TERM_030,"Primary subject is the Shankaracharya-Mandan Mishra debate held at Maheshwar/Mahishmati"
767,CAT_009,TERM_037|TERM_058|TERM_074|TERM_078,"Primary subject is how Ahilyabai funded her pilgrimage construction from personal funds"
768,CAT_010,TERM_074|TERM_071|TERM_037|TERM_056,"Primary subject is the pilgrimage-centre focus of Ahilyabai's construction across India"
769,CAT_010,TERM_071|TERM_074|TERM_037|TERM_056,"Primary subject is Ahilyabai's rebuilding of the Somnath Jyotirlinga temple"
770,CAT_010,TERM_074|TERM_038|TERM_037|TERM_071,"Primary subject is the groups of tirthas (Jyotirlingas, Puris, Char Dhams) where Ahilyabai worked"
771,CAT_010,TERM_074|TERM_062|TERM_071|TERM_037,"Primary subject is Ahilyabai's tradition of sending Ganga Jal to temples on Shivaratri"
772,CAT_005,TERM_067|TERM_004|TERM_056|TERM_037,"Primary subject is the Ahilyabai lake at Jejuri as a water-management engineering work"
773,CAT_009,TERM_009|TERM_037|TERM_076|TERM_030,"Primary subject is Malhar Rao's first costly error in the 1757 Delhi campaign against Abdali"
774,CAT_009,TERM_009|TERM_037|TERM_076|TERM_030,"Primary subject is Malhar Rao's second error of freeing Najib Khan before Panipat"
775,CAT_009,TERM_037|TERM_018|TERM_030|TERM_058,"Primary subject is Yashwant Holkar's succession to the Malwa throne after Ahilyabai"
776,CAT_009,TERM_037|TERM_076|TERM_009|TERM_018,"Primary subject is Tukoji carrying on Malhar Rao's warrior legacy in campaigns"
777,CAT_007,TERM_004|TERM_056|TERM_037|TERM_030,"Primary subject is the Rajwada palace of the Holkars in Indore as architecture"
778,CAT_009,TERM_018|TERM_037|TERM_030|TERM_058,"Primary subject is the end of the Holkar dynasty at Indian independence"
779,CAT_009,TERM_018|TERM_037|TERM_056|TERM_030,"Primary subject is the legendary Scindia-Holkar friendship between Maratha confederacies"
780,CAT_009,TERM_037|TERM_058|TERM_030|TERM_075,"Primary subject is Rao Nandlal's role in inviting the Marathas to take over Malwa"
781,CAT_009,TERM_037|TERM_018|TERM_058|TERM_078,"Primary subject is Ahilyabai appointing Kashi Rao as Tukoji's successor"
413,CAT_002,TERM_034|TERM_012|TERM_039|TERM_042,"Primary subject is the earliest Buddhist Jataka Ramayana versions translated into Chinese"
414,CAT_002,TERM_034|TERM_039|TERM_042|TERM_073,"Primary subject is Kumaradasa's Sanskrit Janakitharana, Sri Lanka's earliest Ramayana work"
415,CAT_002,TERM_034|TERM_042|TERM_056|TERM_017,"Primary subject is the Indonesian Ramayana Kakwin and its many literary versions"
416,CAT_007,TERM_071|TERM_068|TERM_034|TERM_004,"Primary subject is the Prambanan temple in Java sculpted with Ramayana scenes"
417,CAT_002,TERM_034|TERM_042|TERM_039|TERM_056,"Primary subject is the Malay Hikayat Seri Ram and its Islamic-influenced retelling"
418,CAT_002,TERM_034|TERM_071|TERM_073|TERM_056,"Primary subject is the Vietnamese Champa inscription depicting Valmiki as a Vishnu avatara"
419,CAT_002,TERM_034|TERM_042|TERM_012|TERM_056,"Primary subject is the Cambodian Reamker, depicting Rama as avatara and Bodhisattva"
420,CAT_002,TERM_034|TERM_042|TERM_051|TERM_056,"Primary subject is the Thai Ramakien and its unusual portrayal of Hanuman"
421,CAT_002,TERM_034|TERM_042|TERM_017|TERM_056,"Primary subject is the Burmese Ramayana (Rama Yagan) and its Yama-pwe drama tradition"
422,CAT_002,TERM_034|TERM_039|TERM_042|TERM_073,"Primary subject is the first European-language translation of the Ramayana by a Portuguese missionary"
423,CAT_002,TERM_034|TERM_012|TERM_042|TERM_051,"Primary subject is the Japanese Hobutsushu Ramayana and Hanuman's depiction"
424,CAT_002,TERM_034|TERM_012|TERM_039|TERM_042,"Primary subject is the 9th-century Khotanese Ramayana and its Buddhist Bodhisattva framing"
518,CAT_002,TERM_034|TERM_027|TERM_051|TERM_064,"Primary subject is the tradition of Ganesha as scribe of the Mahabharata"
519,CAT_002,TERM_034|TERM_027|TERM_051|TERM_031,"Primary subject is the story of Ganesha's broken tusk used to write the Mahabharata"
520,CAT_002,TERM_034|TERM_051|TERM_064|TERM_042,"Primary subject is the Koota slokas device used by Vyasa in the Mahabharata"
521,CAT_010,TERM_056|TERM_063|TERM_064|TERM_034,"Primary subject is the Vyasa Guha near Badrinath and the Saraswati river legend"
522,CAT_010,TERM_026|TERM_056|TERM_063|TERM_034,"Primary subject is the ancient name of the Arabian Sea (geography)"
523,CAT_010,TERM_026|TERM_056|TERM_063|TERM_034,"Primary subject is the ancient name of the Bay of Bengal (geography)"
524,CAT_010,TERM_074|TERM_063|TERM_056|TERM_034,"Primary subject is the tirtha where the Saraswati joined the sea in ancient times"
525,CAT_002,TERM_034|TERM_051|TERM_037|TERM_063,"Primary subject is King Shantanu's healing quality reflected in his name in the Mahabharata"
526,CAT_002,TERM_034|TERM_051|TERM_037|TERM_043,"Primary subject is the lineage relationship between Pandu and Pratipa in the Mahabharata"
527,CAT_002,TERM_034|TERM_051|TERM_064|TERM_043,"Primary subject is the biological relation between Parashara and Dhritarashtra"
528,CAT_002,TERM_034|TERM_051|TERM_063|TERM_027,"Primary subject is the origin of Bhishma's original name Devavratha"
529,CAT_002,TERM_034|TERM_051|TERM_043|TERM_037,"Primary subject is Dasaraja's condition for Satyavathi's marriage to Shantanu"
530,CAT_002,TERM_034|TERM_051|TERM_076|TERM_043,"Primary subject is how Devavratha earned the name Bhishma through his vow"
531,CAT_002,TERM_034|TERM_051|TERM_037|TERM_043,"Primary subject is the half-brother relationship of Bhishma, Chitrangada and Vichitravirya"
