snippet_key,category_id,tag_ids,notes
66,CAT_010,TERM_003|TERM_027|TERM_030|TERM_056,"Primary subject is the Chilas rock carvings of Balarama-Krishna at a specific site along a trade route"
67,CAT_010,TERM_003|TERM_071|TERM_027|TERM_030,"Primary subject is the Heliodorus pillar and temple remains at a specific place (Besnagar/Vidisha)"
68,CAT_010,TERM_071|TERM_027|TERM_074|TERM_030,"Primary subject is the origin of the Nathdwara Shrinathji pilgrimage place"
69,CAT_010,TERM_071|TERM_038|TERM_027|TERM_051,"Primary subject is Bhalka Teerth/Somnath site tied to Krishna's last days"
70,CAT_010,TERM_071|TERM_062|TERM_027|TERM_002,"Primary subject is the Puri Jagannath temple deity material and the Nabakalebara ritual"
71,CAT_010,TERM_071|TERM_027|TERM_038|TERM_062,"Primary subject is Goddess Vimala's shrine within the Puri Jagannath temple complex"
72,CAT_010,TERM_038|TERM_027|TERM_051|TERM_034,"Primary subject is Seva Kunj, a specific lilasthala in Vrindavan tied to Krishna"
73,CAT_010,TERM_071|TERM_027|TERM_051|TERM_038,"Primary subject is the Gopishvara site in Vrindavan and the Shiva-as-gopi episode"
74,CAT_012,TERM_065|TERM_010|TERM_027|TERM_071,"Primary subject is the Pushti Marg sampradaya of Krishna worship founded by Vallabha"
75,CAT_010,TERM_071|TERM_010|TERM_027|TERM_062,"Primary subject is the Udupi Krishna temple and the Kanakadasa window legend"
76,CAT_010,TERM_071|TERM_027|TERM_010|TERM_051,"Primary subject is the origin of the Dakor Rinchor Krishna temple deity"
77,CAT_010,TERM_071|TERM_013|TERM_018|TERM_004,"Primary subject is Mahabalipuram, a Pallava heritage site with Krishna's Butter Ball"
78,CAT_010,TERM_071|TERM_027|TERM_051|TERM_034,"Primary subject is the Guruvayur temple and the legend of its founding"
79,CAT_001,TERM_031|TERM_027|TERM_071|TERM_051,"Primary subject is the iconographic form of Krishna as Mahavishnu at Guruvayur"
80,CAT_010,TERM_071|TERM_002|TERM_051|TERM_062,"Primary subject is the Tiruchambaram temple and its ban on elephants tied to Kamsavadha"
81,CAT_006,TERM_062|TERM_051|TERM_020|TERM_034,"Primary subject is the Chappan Bhog offering ritual originating in the Govardhana lila"
82,CAT_010,TERM_071|TERM_027|TERM_031|TERM_051,"Primary subject is the Parthasarathy temple in Chennai depicting Krishna as charioteer"
83,CAT_009,TERM_003|TERM_037|TERM_031|TERM_027,"Primary subject is Indo-Greek king Agathocles' coins found at Ai-Khanoum bearing Krishna-Balarama"
84,CAT_010,TERM_074|TERM_027|TERM_010|TERM_047,"Primary subject is the Pandharpur pilgrimage site and the Varkari Vari tradition"
85,CAT_010,TERM_063|TERM_051|TERM_038|TERM_034,"Primary subject is a Vrindavan location on the Yamuna tied to the Balarama plough legend"
480,CAT_009,TERM_018|TERM_037|TERM_030|TERM_008,"Primary subject is the Saka era national calendar and the Satavahana dynasty"
481,CAT_009,TERM_018|TERM_078|TERM_037|TERM_030,"Primary subject is Queen Prabhavati Gupta and the Vakataka dynasty"
482,CAT_012,TERM_035|TERM_071|TERM_018|TERM_074,"Primary subject is the Jain Gomateshwara monolith at Shravanabelagola built by the Gangas"
483,CAT_009,TERM_018|TERM_037|TERM_073|TERM_030,"Primary subject is the Vijayanagara king Krishnadevaraya and his court poet Tenali Rama"
484,CAT_009,TERM_018|TERM_037|TERM_009|TERM_030,"Primary subject is the Yadavas of Devagiri and their defeat by the Delhi sultans"
485,CAT_009,TERM_037|TERM_018|TERM_030|TERM_056,"Primary subject is Kempa Gowda, founder of Bengaluru, and his Vijayanagara connection"
486,CAT_009,TERM_018|TERM_037|TERM_030|TERM_056,"Primary subject is the Kadamba dynasty and the naval base named after it"
487,CAT_007,TERM_004|TERM_018|TERM_071|TERM_068,"Primary subject is Hoysala temple architecture and the soapstone used for carving"
488,CAT_007,TERM_004|TERM_071|TERM_018|TERM_037,"Primary subject is the Kailasanatha rock-cut temple at Ellora built by the Rashtrakutas"
489,CAT_009,TERM_018|TERM_012|TERM_037|TERM_030,"Primary subject is the Ikshvaku dynasty and Nagarjunakonda's link to Mahayana Buddhism"
490,CAT_009,TERM_018|TERM_004|TERM_037|TERM_071,"Primary subject is the Chalukya dynasty and their temple-building capitals"
491,CAT_009,TERM_018|TERM_037|TERM_078|TERM_004,"Primary subject is the Kakatiya dynasty and the Warangal arch on Telangana's emblem"
492,CAT_002,TERM_034|TERM_051|TERM_064|TERM_078,"Primary subject is the Ahilya episode and its variations across Ramayana versions"
493,CAT_002,TERM_034|TERM_051|TERM_043|TERM_073,"Primary subject is the Sita-Rama marriage episode and what is not in Valmiki Ramayana"
494,CAT_002,TERM_034|TERM_051|TERM_073|TERM_078,"Primary subject is the Surpanakha episode and its form in Valmiki Ramayana"
495,CAT_002,TERM_034|TERM_051|TERM_073|TERM_078,"Primary subject is the Sita abduction narrative and the Lakshmana Rekha not in Valmiki"
496,CAT_002,TERM_034|TERM_051|TERM_073|TERM_009,"Primary subject is the Sita abduction chariot detail in Valmiki Ramayana"
497,CAT_002,TERM_034|TERM_051|TERM_010|TERM_078,"Primary subject is the Sabari meeting episode and its Valmiki Ramayana version"
498,CAT_002,TERM_034|TERM_051|TERM_009|TERM_073,"Primary subject is Hanuman in Lanka and details not in Valmiki Ramayana"
499,CAT_002,TERM_034|TERM_051|TERM_074|TERM_073,"Primary subject is the Rameswaram episodes not in Valmiki Ramayana"
500,CAT_002,TERM_034|TERM_051|TERM_073|TERM_018,"Primary subject is the names of Rama used in Valmiki Ramayana versus later texts"
501,CAT_002,TERM_034|TERM_051|TERM_073|TERM_023,"Primary subject is the Sravana story narrated but unnamed in Valmiki Ramayana"
502,CAT_002,TERM_034|TERM_051|TERM_052|TERM_073,"Primary subject is the verse on Sita's ornaments and its place in the critical edition"
503,CAT_002,TERM_034|TERM_051|TERM_078|TERM_073,"Primary subject is the Uttara Kanda episode of suspicion over Sita's character"
1,CAT_001,TERM_027|TERM_034|TERM_032|TERM_055,"Primary subject is the early Vedic identity of Shiva as Rudra and his theology"
2,CAT_001,TERM_027|TERM_034|TERM_055|TERM_054,"Primary subject is the textual emergence of Shiva as the supreme deity"
3,CAT_012,TERM_054|TERM_013|TERM_071|TERM_018,"Primary subject is the Pashupata Shaiva sect and the Elephanta cave temple"
4,CAT_010,TERM_071|TERM_003|TERM_027|TERM_032,"Primary subject is the Trincomalee Koneswaram Shiva temple and Arthur C Clarke's find"
5,CAT_001,TERM_003|TERM_027|TERM_031|TERM_032,"Primary subject is the Indus Valley Pashupati seal interpreted as proto-Shiva"
6,CAT_005,TERM_003|TERM_027|TERM_031|TERM_052,"Primary subject is the archaeological Shivalinga find at Kalibangan and its excavation"
7,CAT_010,TERM_074|TERM_071|TERM_027|TERM_034,"Primary subject is the twelve Jyotirlinga pilgrimage sites and their distribution"
8,CAT_010,TERM_038|TERM_071|TERM_027|TERM_034,"Primary subject is Kankhal's tie to Sati's death and the origin of Shakti Peethas"
9,CAT_010,TERM_071|TERM_027|TERM_051|TERM_062,"Primary subject is the Triyugi Narayan temple tied to the wedding of Shiva and Parvati"
10,CAT_002,TERM_042|TERM_073|TERM_051|TERM_034,"Primary subject is Kalidasa's Kumarasambhava based on Kartikeya, son of Shiva"
11,CAT_012,TERM_054|TERM_061|TERM_027|TERM_065,"Primary subject is the Lingayat (Veerashaiva) sect and their wearing of the linga"
12,CAT_001,TERM_031|TERM_027|TERM_064|TERM_068,"Primary subject is the Ardhanarishvara manifestation combining Shiva and Shakti"
13,CAT_010,TERM_074|TERM_048|TERM_027|TERM_056,"Primary subject is the Shrikhand Mahadev yatra location in Himachal"
14,CAT_010,TERM_071|TERM_027|TERM_015|TERM_031,"Primary subject is Chidambaram temple as the Akasa element among Pancha Bhoota Sthalas"
204,CAT_010,TERM_056|TERM_034|TERM_051|TERM_030,"Primary subject is Chakia Purva village and its significance in Rama's exile journey"
205,CAT_010,TERM_056|TERM_010|TERM_073|TERM_042,"Primary subject is Rajapur, birthplace of Tulsidas and the Ramcharitmanas"
206,CAT_010,TERM_074|TERM_047|TERM_034|TERM_056,"Primary subject is Nashik as both a Ramayana site and a Kumbh Mela location"
207,CAT_010,TERM_056|TERM_071|TERM_034|TERM_051,"Primary subject is Walkeshwar in Mumbai, a sand linga tied to Rama's search for Sita"
208,CAT_010,TERM_056|TERM_027|TERM_051|TERM_034,"Primary subject is Yedeshwari at Ghatshila worshipped as a rock from the Ramayana"
209,CAT_010,TERM_056|TERM_051|TERM_064|TERM_034,"Primary subject is Suriban near Belgavi and its connection to Shabari's Ramayana story"
210,CAT_010,TERM_056|TERM_034|TERM_051|TERM_071,"Primary subject is Hampi identified as Kishkindha from the Ramayana"
211,CAT_010,TERM_071|TERM_031|TERM_034|TERM_051,"Primary subject is the Tiruppullani temple with a reclining Rama deity"
212,CAT_010,TERM_071|TERM_074|TERM_062|TERM_034,"Primary subject is the Ramanathaswamy temple at Rameswaram with its 22 tirtha wells"
213,CAT_010,TERM_056|TERM_034|TERM_051|TERM_071,"Primary subject is Divirumpola in Sri Lanka, site of Sita's Agni Pareeksha"
214,CAT_010,TERM_071|TERM_027|TERM_034|TERM_073,"Primary subject is Trincomalee, where Arthur C Clarke found the Shiva Lingam"
215,CAT_010,TERM_048|TERM_034|TERM_046|TERM_051,"Primary subject is Unawatuna in Sri Lanka tied to the Sanjeevani mountain legend"
216,CAT_010,TERM_071|TERM_051|TERM_034|TERM_056,"Primary subject is Bijethua Hanuman Mandir tied to the Sanjeevani journey episode"
217,CAT_010,TERM_056|TERM_030|TERM_034|TERM_006,"Primary subject is Bithoor's Ramayana link (Valmiki Ashram) and its historical events"
218,CAT_010,TERM_056|TERM_063|TERM_034|TERM_051,"Primary subject is Shringaverpur, the Nishadraj site on Rama's exile journey"
141,CAT_012,TERM_069|TERM_071|TERM_030|TERM_020,"Primary subject is Anandpur's Takht Keshgarh Sahib and Sikh history under Guru Gobind Singh"
142,CAT_010,TERM_071|TERM_069|TERM_012|TERM_056,"Primary subject is Rewalsar, sacred to Sikhs and Buddhists at a specific site"
143,CAT_010,TERM_071|TERM_069|TERM_056|TERM_030,"Primary subject is Bangla Sahib Gurudwara and Guru Harkishan's stay in Delhi"
144,CAT_010,TERM_071|TERM_069|TERM_048|TERM_074,"Primary subject is Hemkund Sahib, a high-altitude Sikh pilgrimage Gurudwara"
145,CAT_010,TERM_071|TERM_069|TERM_046|TERM_056,"Primary subject is Manikaran Sahib Gurudwara and its hot springs"
146,CAT_010,TERM_071|TERM_069|TERM_063|TERM_056,"Primary subject is Hazur Sahib Gurudwara at Nanded on the Godavari"
147,CAT_010,TERM_071|TERM_069|TERM_063|TERM_030,"Primary subject is the Kartarpur corridor Gurudwara and Guru Nanak's last days"
148,CAT_010,TERM_071|TERM_069|TERM_056|TERM_030,"Primary subject is Nanak Jhira Gurudwara at Bidar and its Sikh significance"
149,CAT_010,TERM_071|TERM_069|TERM_056|TERM_063,"Primary subject is Sri Harmandir Ji at Patna, birthplace of Guru Gobind Singh"
150,CAT_010,TERM_071|TERM_069|TERM_056|TERM_004,"Primary subject is Nankana Sahib, birthplace of Guru Nanak"
151,CAT_010,TERM_071|TERM_069|TERM_030|TERM_056,"Primary subject is the Delhi Gurudwara marking Guru Tegh Bahadur's execution"
152,CAT_010,TERM_071|TERM_027|TERM_030|TERM_009,"Primary subject is the Multan sun temple and its sacking by Arab invaders"
153,CAT_010,TERM_074|TERM_071|TERM_027|TERM_030,"Primary subject is the fourteen Aditya sun temples of Varanasi"
154,CAT_010,TERM_071|TERM_027|TERM_037|TERM_004,"Primary subject is the Martand sun temple built by Lalitaditya of the Karkota dynasty"
155,CAT_010,TERM_071|TERM_027|TERM_007|TERM_056,"Primary subject is Suryanar Kovil, part of the Navagraha temple circuit in Tamil Nadu"
156,CAT_010,TERM_071|TERM_027|TERM_048|TERM_056,"Primary subject is the lesser-known Nirath sun temple in the Himalayas"
157,CAT_007,TERM_004|TERM_071|TERM_037|TERM_068,"Primary subject is Konark sun temple architecture and its Jagamohana assembly hall"
158,CAT_007,TERM_004|TERM_071|TERM_027|TERM_037,"Primary subject is the Modhera sun temple architecture and its Surya Kund"
55,CAT_010,TERM_038|TERM_071|TERM_027|TERM_062,"Primary subject is the Jwalamukhi Shakti Peeth where flames are worshipped"
56,CAT_007,TERM_004|TERM_071|TERM_068|TERM_056,"Primary subject is the ruined Kakanmath temple and its construction methods"
57,CAT_010,TERM_071|TERM_034|TERM_056|TERM_004,"Primary subject is the Kala Ram temple at Nashik, a Ramayana pilgrimage town"
58,CAT_007,TERM_004|TERM_071|TERM_018|TERM_068,"Primary subject is the Kandariya Mahadev temple at Khajuraho as architectural pinnacle"
59,CAT_008,TERM_061|TERM_033|TERM_056|TERM_030,"Primary subject is the offshore Vivekananda memorial commemorating the reformer"
60,CAT_012,TERM_035|TERM_071|TERM_018|TERM_068,"Primary subject is the Gomateshwara monolith at Karkala of the Jain tradition"
61,CAT_010,TERM_074|TERM_071|TERM_048|TERM_027,"Primary subject is the Kedarnath Shiva temple, a Chota Char Dham pilgrimage site"
62,CAT_010,TERM_074|TERM_071|TERM_048|TERM_063,"Primary subject is Yamunotri, one of the Chota Char Dham pilgrimage temples"
63,CAT_010,TERM_071|TERM_012|TERM_048|TERM_004,"Primary subject is the Ki Monastery overlooking the Spiti river in Himachal"
