snippet_key,hook,explanation
654,What was Bhima's role in Agyatvasa?,Bhima was fond of good food and was a good cook and hence took up cooking.
655,What was Arjuna's role in Matsya?,"Arjuna learnt music, dance and other arts from the Gandhrva Chitraratha, and at Indraloka. Therefore he took up the job of teaching dance and music."
656,Where did Pandava keep their weapons?,Before going to Agyatavasa the Pandavas kept all their weapons in a cloth and tied it giving it a shape of a dead body and kept it on a Shami tree.
657,What symbolism does weapons tied as a dead body indicate?,Their basic trait of kshatriya was lost as they could not help society for next one year. They were scared of being discovered and were helpless and hence as good as dead.
658,Who was the commander and brother of Sudhesana?,Kichaka was the brother who stayed at his sister's house and was also commander of Viratha’s kingdom.
659,Who comes to the help of Draupadi against Kichaka?,Kichaka troubled Draupadi and it was then Bhima volunteered to help her. He dressed up as a lady and attacked Kichaka and killed him.
660,What was Draupadi during Agyatvasa?,Draupadi took up the role as a hairdresser and make-up artist to queen Sudhesana. This professional is called Sairandhri.
661,What does Duryodahna do to make pandavas fight with him?,When Duryodhana got a doubt that Pandavas were living at Matsya kingdom he stole the cows of King Virata. He thought that Pandavas would come and fight with him to take back the cows.
662,Who is the prince of the Matsya kingdom?,He was the prince of Matsya kingdom and was known for his boasting tendencies.
695,Who advises Duryodhana to surrender to Pandavas after Karna and Dushasana are killed?,Kripacharya advises Duryodhana that they should surrender to Pandavas for the sake of peace. Atleast there will be peace in the kingdom now that all the Kauravas are already dead. Duryodhana refused as he still desired to be the king.
696,Why was Shayla killed?,"Shalya, even though on his way to join Pandavas, changed sides for flimsy reasons enticed by Duryodhana’s feast. He choose the side of adharma over dharma, merely for material joy. Therefore, even though he helped Pandavas by abusing Karna, he was killed by Yudishtira."
697,Why was Bhishma waiting in his deathbed?,"Bhishma had a boon that he could choose his time of death. Therefore, even though mortally wounded, he choose to wait till Uttarayana, considered an auspicious period."
698,How could Duryodhana stay alive in the Dvaipayana lake?,"Duryodhana knew Jalasthambana, which is the art of staying alive under water. Therefore he entered the Dvaipayana lake. He entered the Sarovar backwards to make it appear like the footprints are coming out of the lake. He thought people would get deceived that someone has walked out of the lake. When the elders come and tell Duryodhana that he should surrender instead of hiding, some hunters overhear the conversation. The Pandavas were searching for Duryodhana. The hunters tell the Pandavas where Duryodhana is hiding."
699,What mistake was Yudishtira making when speaking to Duryodhana?,Yudishtira calls out Duryodhana and says surrender or fight. Duryodhana says he still wants to be king and is in the lake to take rest. He asks Pandavas also take rest and then resume the fight later. Yudishtira refuses to accept this. Duryodhana says that he is alone. Yudishtira says choose the weapon and the person who you want to fight with. This was foolish of Yudhistira as he had sworn to kill himself if any of his brothers get killed. Krishna tells Yudishtira that he is gambling again at the cost of his brothers’ lives.
700,What weapon did Duryodhana choose to fight with?,Duryodhana chooses Gadha and then comes out. Then Bheema steps forward to fight before Duryodhana could choose the opponent. This was lucky as someone like Nakula would have been easily killed by Duryodhana and then Yudishtira also would have killed himself due to the vow that he had taken.
701,How did Duryodhana die?,"The fight between Bheema and Duryodhana was prolonged. This fight has many popular versions. Krishna signals to Bheema patting his thigh reminding him of the vow that Bheema had taken. Bheema had vowed to break Duryodhana’s thigh during Draupadi’s vastraharana. In the original version, Arjuna points the thigh to Bheema. You may recall that Duryodhana had mocked Draupadi during Vastraharana to come and sit on his thigh. In popular stories, Duryodhana had been protected by his mother’s boon that he cannot get hurt above the waist. There are other versions also. Gandhari was smearing Duryodhana’s body to make him invincible. In another version, Gandhari, since she had covered her eyes, had a powerful eyesight. If she removed the strap, she could make anyone invincible by looking at them. She had even burnt Yudishtira’s nails by simply looking at his feet. She was looking at Duryodhana to make him invincible. At that time Duhsala or Krishna in the disguise of Duhsala comes there. Duryodhana’s lower body was covered and therefore he was not protected. In the original version, Duryodhana jumps in the air and then Bheema hits both of the thighs."
702,What happened once Duryodhana fell down with broken thighs?,"Even when Duryodhana was alive, vultures and other animals started feasting on him. The earth is surrounded by oceans which have gems in their depth. The four oceans became the girdle of the earth. Duryodhana ruled that earth. After having enjoyed all the pleasures of the earth, he has fallen with a broken thigh. He is still alive and animals and vultures are feasting on him. Ashwathama, Kritavarma and Kripacharya go to Duryodhana and Duryodhana appoints Ashwathama as the commander of Kauravas."
703,What inspires Ashwathama to kill Drustadyumna?,"Ashwathama wants to take revenge on Dristadyumna and the panchalas. At night, Ashwathama sees a nest full of babies of the crows. An owl comes and starts pecking on the young ones. Looking at this, he gets an idea. He goes to kill the Pandavas. All the upapandavas were sleeping and so was Dristadyumna. Ashwathama goes to the camp even though Kripacharya advises against this. He asks both Kripacharya and Kritavarma to wait outside. Ashwathama massacres Drustadyumna. He sets the camp on fire and all the upapandavas get killed. Now the entire next generation of Pandavas have got killed."
704,Who among the descendants of Pandavas survives the war?,"Among the Pandavas, Abhimanyu’s wife Uttarakumari was pregnant when Adbhimanyu died. Once born, he could become the king even though all the upapandavas had died."
705,Why did the Pandavas chariot caught fire?,"The Pandavas come to the site of upapandavas camp. As soon as they come out of the chariot it catches fire. Krishna tells Arjuna that I was protecting the chariot from catching fire from the arrows of Bhishma and Drona. It would have caught fire on the first or the second day of the war itself. Now that the war is over, Krishna is no longer protecting the chariot and therefore it got burnt."
706,Why did Bheema chase Ashwathama?,"Draupadi learns that all her sons have been killed. Her elder brother has also been killed. Draupadi says that Ashwathama has a gem on top of his head and she wants that gem. Ashwathama was heading towards the Ashrama of Vyasa. Bheema chases him. Ashwathama has a Brahmashirastra which he aims at the Pandavas. Arjuna immediately responds with another Astra. If the two arrows had met, it would have been like a nuclear explosion. So Narada and Vyasa Maharishi ask Arjuna to withdraw the astra which he does. Ashwathama says he cannot withdraw the arrow once fired. The arrow hits the womb of Uttara thereby eradicating the Pandava clan. Krishna brings back the child to life who is born as Parikshit. The name implies it was tested (with the strongest of weapons). Janamejaya is the son of Parikshit to whom the entire story of Mahabharata is told."
707,What curse does Krishna give Ashwathama?,"Krishna curses Ashwathama that he will be alive for three thousand years, but with all the suffering. He was made Chiranjivitva but as a curse. This is because of the genocide and infanticide that he had done. He is not supposed to have attacked a warrior without a weapon, leave alone someone who is sleeping."
708,Who does Dhritarashtra want to embrace?,"Pandavas come and meet Gandhari and Dhritarashtra. The women rush to the battlefield to find that all their men had died in the battle. Dhritarashtra is overcome with pain. He says he wants to embrace Bheema, but his intention was to crush Bheema. Earlier, Duryodhana had created a statue of Bheema to practice fighting. Realisizing Dhritarashtra’s intention, Krishna places that statue in front of Dhritarashtra. The statue shatters to pieces as Dhritarashtra hugs it and Dhritarashtra’s chest is wounded as a result."
