snippet_key,hook,explanation
195,Cheti Chand is the new year day of which community or region?,"Cheti Chand is an important festival for Sindhis. This day falls on the first day of the lunar month Chet (Chaitra) as per Sindhi calendar. This gives rise to the name Chet-i-Chand – the rise of full moon in the Chaitra month. Sindhis commemorate the birth of Uderolal, more popularly known as Jhulelal, the Patron Saint of the Sindhis. On this day, people worship water, the giver of life. It is said that Jhulelal worshipped Lord Varuna, the God of Water. Source: The Hindu New Year – Flavors of Celebration, www.dollsofindia.com Picture Credit: Latestly"
196,"For Punjabis, Baisakhi is also a special day in Sikh history. What event in Sikh History are we referring to?","Tamils (Puthandu), Punjabis (Baisakhi), Odiyas (Bishuva) & Bengalis (Pohela Baisakh) share the same new year though they are geographically far apart from each other. They follow solar calendars unlike other parts of India. Their new year normally falls on April 14th or 15th. Baisakhi is special for Sikhs for other reasons as well. Guru Gobind Singh founded the Khalsa panth on Baisakhi day in 1699 in Anandpur. Takht Keshgarh sahib marks the spot where he administered amrit to the Panj Pyaras, the five beloved ones, and baptized them as Khalsas. The panj pyaras came from different parts of India. Source: Sikh Shrines in India, GS Randhir Picture Credit: 300 year anniversary of Baisakhi at Anandpur Saheb, Gurumustuk Singh, Flickr"
197,What is the Parsi new year day called?,"Zoroastrians worldwide have three calendars, the Shahenshahi, Qadimi and Fasli calendars. The New Year as per Fasli calendar is the Spring Equinox and therefore Navroz is on March 21. However Parsis in India mostly follow the Shahenshahi calendar. It does not take leap years into account. Therefore Parsi New Year is celebrated in India with a lag, now in the month of August. The celebrations begin on the eve of the New Year and are known as Pateti._x000D_ _x000D_ Source: Prochy Mehta, Telegraph_x000D_ _x000D_ Picture Credit: Asian Age"
198,The Kashmiri new year day Navreh also marks the start of the Chaitra Navratras. Who do Kashmiri Pandits worship in these Navratras?,"Navreh customs are remarkably similar to Vishu of Kerala that is on the other corner of India. Kashmiri Hindus consider Navreh to be as sacred and holy as Maha Shivaratri. New year in many parts of north India is associated with the first day of Chaitra (spring) Navratra, though the autumn Navratra (Durga Puja/ Dussehra) is more well known. On the eve of Navreh, a plate is prepared with many offerings including the nashpatra (almanac) and kreel pach(a scroll) that has the likeness of Ma Sharika, the Goddess venerated by Kashmiri Pandits. The plate also includes other items such as flowers, walnut, wye (a bitter herb), coins, pen, ink bottle, cooked rice etc. These represent food, knowledge and wealth. The entire family gathers together to look at this plate first thing in the morning. This is so similar to the Vishukani custom in Kerala. A special dish called Tahar is prepared which is turmeric rice with ghee. It is believed that Saptarishi era of the Kashmiri Hindus started on the day of Navreh, more than 5000 years ago. It is believed that the seven rishis gathered at the dwelling of the Mother Goddess Sharika Devi to proclaim a new era. Source: The Encyclopedia of New Year’s Holidays Worldwide, William Crump The Hindu New Year – Flavors of Celebration, www.dollsofindia.com Picture Credit: Aditya Raj Kaul, Twitter"
199,"Most Indians celebrate the traditional new year in March/ April. But in one region, the new year falls on the day after Diwali (Oct/ Nov). Which region/ community celebrates this new year?","Gujarat follows a luni-solar calendar like many others. However, the Gujaratis start the new year on the first day of the Kartika month. In some areas of Gujarat like Kutch & Saurashtra, the new year starts on the first of the Ashadha month (June/ July). Bestu Varas is the Gujarati New Year’s Day and people greet each other, saying ""Nutan Varsha Abhinandan"" or ""Saal Mubarak"". This day starts by bursting plenty of firecrackers, starting as early as 4 am. Young boys gather and sell raw salt, calling it ""Sabras,"" meaning, ""all tastes."" People decorate their homes with aaso palav and marigold torans or door hangings and draw colorful rangolis at their doorstep. Source: The Hindu New Year – Flavors of Celebration, www.dollsofindia.com Picture Credit: Sam Panthkay, Mint"
200,Sarhul is a new year spring festival in which part of India?,"The tribals of Jharkhand worship their sacred groves which are known as ‘sarnas.’ Such a grove must have at least five sal trees, which are held to be sacred. It is in these groves that the tribes of Chotanagpur venerate their God and spirits. The Sarhul festival is celebrated when the sal tree starts flowering, usually in the first fortnight of the month of chaitra, coinciding with the beginning of the new year in these regions. It is usually a three-day event. However, some groups worship it for a month-long period till the time jyeshtha (or jeth) arrives. Etymologically, ‘sar’ refers to sal tree while ‘hul’ is a collective beginning. Worship of sacred groves is an all India phenomenon and is very pronounced in Kerala, coastal Karnataka and Coorg. Source: Hinduism and Nature, Nanditha Krishna Outlook India Picture Credit: Gurpreet Singh, Wikimedia Commons"
201,Most new years in India mark a particular astronomical phenomenon. What are we referring to?,"The spring or vernal equinox (Mesha Sankaranti) marks the start of spring. On this day both day and night are of equal duration. This is the traditional new year in most of India. It was also the new year in the first ever known calendar of humankind made by Mesopotamians around 2000 BCE. On the spring equinox (Mesha Sankranti) the sun passes onto the Aries zodiac. In solar calendars (Kerala, TN, Bengal, Assam), it is around April 14th or 15th depending on how the start of the day is calculated (sunrise to sunrise vs midday to midday etc.). This date is actually 20 days behind the actual spring equinox. The Mesha Sankranti varies in a luni-solar calendar as its date is dependent on the waxing or waning of the moon to mark the start of the month. Thus the same spring equinox is marked by a wide diversity of dates in India depending on the architecture of the calendars being used. Source: Various Picture Credit: Wikimedia Commons"
202,India follows the Gregorian calendar but also has its national calendar. Which era is the national calendar based on?,"The national calendar of India is based on the Saka Era. It was adopted from 22 March 1957. Chaitra is the first month and it has a normal year of 365 days. 1 Chaitra falls on 22nd March every year and on 21st March in a leap year. Both the Saka era and Gregorian calendar are official calendars. The Saka era began in 78 CE. It probably marks the victory of the Andhra Satavahana ruler, Gautamiputra Satkarni over the Sakas who were of Iranian origin. There is no consensus on this though. The other major era used in Hindu religious calendars is the Vikram era which began in 57BCE. It is supposed to mark the victory of Emperor Vikramaditya of Ujjain over an earlier generation of Sakas. Both Vikramaditya & Shalivahana are said to be from the same dynasty. Historians are unclear about the identity of these two kings. Other eras used in India include the Saptarshi or Laukika era, Kali era Kollam era and Bengali san etc. Source: https://knowindia.india.gov.in Picture Credit: Government of India"
203,The North Indian calendar is based on 12 lunar months. These don’t add up to a full solar year. Therefore the lunar calendar keeps falling behind the solar calendar. The calendar is adjusted to align these two systems. How is it done?,"North India, Karnataka, Andhra/ Telengana follow the luni-solar calendar. Their year consists of 12 lunar months. This is shorter than the solar year by 11 days, so the lunar calendar keeps lagging behind solar calendar. To align the lunar year to the solar year, an extra month, adhikmaas (adhik – extra, maas – month) is added approximately every three years (or precisely 7 times in 19 years). The adhikmaas is added when two new moon days (Amavasya) occur within a solar month (when the Sun passes from one zodiac to another). The adhikmaas is also called maalmaas, maalimaacha, Purushottam maas etc. It is considered auspicious as the month of Lord Vishnu. 2023 will have an adhikmaas starting 18th July. Source: Keeping Track of Time, Rahul Basu Picture Credit: ISKCON Educational"
159,Randal Maataji temples are common in Gujarat and the Randal Ghodo festival is a popular event. She is related to Surya. How?,"Randal Maa is the first wife of Surya and is also known as Sanjna or Sarenu. She could not sustain the heat of the sun and left the house after creating a shadow equivalent of her called Chaaya (shadow). She went to the forest for meditation. Surya found Sanjna in the forest in the form of a mare. They reconciled and came home. Surya also gave Sanjna a boon that married couples who worshipped her would always stay together. The Randal Ghodo festival refers to the horse form of her and women dance mimicking the movement of a horse. Both Sarenu and Chaaya are shown together in iconography._x000D_ _x000D_ Source: Prof Gauri Mahulikar - https://www.youtube.com/watch?v=KUEqBDWMulQ , randalmaa.com_x000D_ _x000D_ Picture Credit: Maheronline.org"
