snippet_key,hook,explanation
66,Rock carvings in this far off region attest to the spread of Krishna tradition widely. Balarama and Krishna are seen in these rock carvings. Where is this found?,"Rock carvings at Chilas in Kashmir, along a major trade route in the Gilgit valley, include a pair of figures, holding what seem to be a plough and disc, wearing wide open coats similar to that of the Kushana period. They are identified as Balarama and Krishna based on the Kharoshthi inscriptions found in the area. Source: A History of Ancient and Early Medieval India From the Stone Age to the 12th Century by Upinder Singh"
67,This Greek Ambassador to India erected a stone pillar venerating Lord Krishna. This is one among the earliest surviving Hindu religious structures in India. Remains of a temple too have been found in front of this pillar. In which modern State of India will you find this pillar still standing?,"Heliodorus, the Greek ambassador, describes himself as a Bhagavata—i.e., a worshipper of the god Vasudeva Krishna, and that he set up this pillar in honor of this god. The pillar is dated around 120 BCE. Nearby the remains of an ancient temple dated to the 3rd Century BCE have been found. The pillar is still standing in Besnagar, near Vidisha in Madhya Pradesh. Source: A History of Ancient and Early Medieval India From the Stone Age to the 12th Century by Upinder Singh"
68,"As Krishna was being carried from Mathura in a cart to escape Mughal destruction, his deity got stuck in this place and is now a popular pilgrimage spot. What is this place called?","Shrinathji’s idol was brought to Rajasthan from Govardhana near Vrindavan to protect it from the hands of the Mughal emperor Aurangzeb who in 1665 was bent upon vandalizing the area of Vrindavan by widespread destruction of Hindu temples. For almost six months the statue stayed in Agra after which the custodians of the idol of Shrinathji left that place with the idol in search of a new location. When the wheel of the chariot carrying the Lord got stuck in the mud at a place called Sihar, the Maharana Rajsingh of Mewar saw it as a divine sign that Lord Krishna wished to settle here, and thus a temple was built at this spot and the holy township of Nathdwara grew around the temple._x000D_ _x000D_ Source: https://www.nathdwaratemple.org/history/shrinathjis-arrival-at-nathdwara"
69,"Somnath, a Jyotirling is also closely connected to Krishna's life, how?",Bhalka Teerth is the location where the arrow of the poacher Jara hit Sri Krishna. It is about 4 or 5 kms away from Somnath. Bhagvan Shree Krishna was resting in meditation pose under a pipal tree when the poacher misread the foot of Bhagvan Shree Krishna as a deer and hit from a distance. This divined leela of Bhagvan Shree Krishna is immortalized by a beautiful temple and an ancient pipal tree. Bhagvan Shree Krishna then walked a small distance and arrived at the holy banks of river Hiran from where he took his last journey to his Neejdham. Source: Somnath Trust
70,What is the material from which the deities in Puri Jagannath temple are made of ?,"The deities are made of wood. The deities are replaced at intervals of 8, 11, 12 or 19 years, most often after 19 years. The ritual is called Nabakalebara. Four holy neem trees are identified and cut to make the famous wooden embodiments of Jagannātha Krishna. The goddess Mangalā is the guardian of the forest from which trees are cut. The priests come to the forest to seek the right tree for the new image. Source: Immortal India Volume 1, https://www.shreejagannatha.in/nabakalebara/"
71,Goddess Vimala is a Shakti Peeth and is housed within a famous Krishna temple. Where is Goddess Vimala?,"At the famous pilgrimage temple of Krishna Jagannātha at Purī in Orissa, the goddess Vimalā is known as the ancient goddess of the place. Those who have studied the folk deities of Orissa and the emergence of the Krishna worship here say that this place, too, was a pitha of the Goddess long before being appropriated by Lord Krishna. Nīlāchala, on which the temple sits today, was once the domain of the goddess named Vimalā. Her shrine still is present in the sacred precincts, and she is the first to receive the prasād, the consecrated food offerings that only then become the mahāprasād, the “great grace of the Lord,” to be distributed to the worshippers. Source: India: A Sacred Geography by Diana Eck"
72,Seva Kunj in Vrindavan is the location of one of the Leelas of Krishna.,"Among the most famous of the līlāsthalas near the Yamunā bank are the forest groves where Krishna would meet the gopīs at night and dance the rās dance with each of them in a wide circle. He created a well for them when they were exhausted with the dance and too thirsty to walk to the Yamunā River. There, too, is Sevā Kunj, the very bower, so they say, where Krishna met Rādhā for lovemaking. Source: India: A Sacred Geography by Diana Eck"
73,The site called Gopishvara in Vrindavan marks Shiva in the life of Krishna. Which incident is this,"Shiva himself became a gopī to witness and enjoy the sacred rās dance of Krishna with the gopīs. He was drawn to Braj by the sound of Krishna’s flute, but was refused entry and could not cross the Yamunā until he became a woman. So Shiva bathed in the river and emerged a gopī. At Gopīshvara in the evening, Shiva is adorned by the priests with a bright sari and the silver mask of a woman wearing lipstick and eye makeup. Source: India: A Sacred Geography by Diana Eck"
74,"Pushti Marg, the Path of Grace, is a tradition of Krishna worship. What aspect of Krishna is worshipped?","The Pushti Mārg tradition of Krishna worship creates yet another landscape—a linked network of havelīs, each housing a small and powerful image of Krishna, and a network of baithaks where Vallabha taught. At any one of these havelīs, the pilgrim experience brings vicarious participation as members of the extended family in the daily life of Krishna—his waking and sleeping, his caring for the cows and coming home at dusk, his swinging and his water sports. Visiting a havelī, one will catch the Lord somewhere in the daily domestic cycle and enter into that very moment._x000D_ _x000D_ Source: India: A Sacred Geography by Diana Eck"
75,Krishna in this temple turned 180 degrees to allow his disciple Kanakadasa his glimpse since he was not allowed into this temple. Where is this temple?,"A devotee named Kanakadāsa came as a pilgrim to Udupi but was unable to enter the temple because of his station in life as a shepherd. So he sang songs of devotion outside the temple, and Krishna, they say, was moved by his song. The Lord opened up a crack in the temple wall and turned 180 degrees to face west so that Kanakadāsa could have his darshan. Rather than patch up the crack, the temple authorities turned it into a window, which they dubbed Kanakadāsa’s window, through which everyone can peep in from the outside and see Lord Krishna. Today, it is customary to peek through Kanakadāsa’s silver-framed and highly ornate window before entering the temple for darshan. Source: India: A Sacred Geography by Diana Eck"
76,"Rinchor in Dakor, close to Ahmedabad is a Krishna temple. What is the origin of the deity?","An aging devotee used to make the trek from Dakor to Dvāraka on a regular basis to honor Krishna with tulsī leaves he had grown himself. Eventually, he became too old and lame to do so, and so he drove to Dvārakā in a cart intending to seize Krishna and take the image home with him to Dakor. Despite the security precautions of the Dvārakā Temple, Krishna was willingly kidnapped and spirited away in the cart to Dakor, where he is honored today as Rinchor. Source: India: A Sacred Geography by Diana Eck"
77,A gigantic boulder precariously positioned is known as Lord Krishna’s butter ball. Where will you find this?,"Mahabalipuram is a UNESCO heritage site developed by the Pallava dynasty in the 7th and 8th centuries. Several rock cut temples, cave sanctuaries and rock carvings dot this area. The Krishna's Butter Ball appears precariously tilted, but has defined several attempts to move it. Source:"
78,Which Krishna temple is called the Dwaraka of the South,"The Lord Krishna asked his foremost disciple and devotee, Uddhava to retrieve the idol from the impending submergence of Dwaraka in the sea and install it at a spot equally holy so that He could shower His blessings on His devotees and save them from the evil effects of Kaliyuga. Uddhava entrusted the job to Guru, the preceptor of the gods, and Vayu, the god of winds. They took possession of the idol and moved in search of a proper place. Ultimately they decided to install it near a lake full of lotuses, on one side of which there were Siva and Parvati. That is Guruvayur, the place having derived its name from Guru and Vayu who jointly installed the vigraha. Source: Temples and Legends of Kerala by Bharatiya Bhavan"
