snippet_key,hook,explanation
568,Who among the 105 Kuru princes promised Drona that he would take revenge on King Drupada on his behalf?,"After Bhishma appointed Drona as the Guru of the Kuru princes, Drona asked the princes to fulfil his wish of revenge against Drupada, once their studies were over. Only Arjuna came forward to take this oath. Drona smelled Arjuna’s head and from that day he became the Guru’s favorite disciple. This gain shows Drona’s complex personality – he asked for Guru Dakshina in advance and that too a specific wish. Normally, Dakshina is voluntary made after the studies are over. He promised to make Arjuna the greatest archer in the world in return of his promise to take revenge on his behalf."
569,When did Arjuna realise that he could shoot in the dark guided only by sound?,"Once Arjuna was eating by candle light. Due to strong winds, the candle blew off. But Arjuna continued eating without a hitch as if by reflex. He then realized that if he could eat so easily in the dark, he can as well as shoot arrows in the dark. He then started practicing during the night and developed the skill of using the shabd-bedhi baan (noise penetrating arrow). He could estimate where the target was based on the noise coming from around the target and shoot at the target accurately. A good student can develop many new skills if he/she is rightly mentored and is willing to put in hard work and rigorous practice."
570,What did Arjuna see when he was asked to aim at an artificial bird hung on a tree?,"Arjuna was very focused as a student. So when he was asked to aim at a target, he only saw the target. When Duryodhana was asked to aim at the target, he said that he saw the beautiful scenery around the target. Maybe as a son of a blind father, he was more interested in seeing beauty than the target. Bheema, in contrast, wanted to bring down the full tree instead of aiming at the target. Perhaps it was his egoistic nature speaking."
571,"When Drona went to the river, his leg was caught by an animal. All other princes were scared but Arjuna shot an arrow to kill the animal. Which animal was it?","Probably it was a test designed by Drona. He created a situation wherein it appeared that his leg had been caught by a crocodile underwater. All other princes froze with fear but Arjuna was undeterred. He accurately shot at the animal even though underwater the shape of the animal seen is distorted by refraction. As per physics, light gets bent while passing from air to water, a phenomenon called refraction."
572,Drona was partial to Ashwathama. Who was Ashwathama?,"Ashwathama was the son of Drona & Kripi. As guru, Drona was very partial to son. He made an announcement that whichever student fulfilled a certain task would get special lessons. The task was to go to the river and fill a pot with water and bring it back. All other princes got pots with narrow openings. Only Ashwathama got a pot with wide mouth. This made sure that he would fill up the pot faster and be automatically be eligible for the special lessons. This was another instance of Drona not being completely scrupulous in his role of Guru."
573,Drona refused to teach Eklavya who was a prince (kumara) of which community?,"Eklavya is described as a Nishaada Kumara. The Nishaadas lived in forests. Drona refused to teach Eklavya when he approached him. Perhaps he wanted to teach only city based disciples. Whatever be the reason, Drona had many failings as a guru. Eklavya, the dedicated student was undeterred. He built a statue of Drona, accepted it as his guru and started practicing. He ended up developing great skills as an archer."
574,What was the relation between Hiranya-dhanusha and Eklavya?,"Eklavya was the son of Hiranya-dhanusha who was not only the leader of Nishaadas but was also an important general of Jarasandha, king of Magadha. Jarasandha was a mortal enemy of Krishna."
575,Eklavya shot arrows into the mouth of which animal to stop it from making noise?,"The Kuru princes go to a forest to hunt, accompanied by dogs. One of the dogs wandered where Eklavya was practicing and started barking. To shut the dog up, Eklavya shot a bunch of arrows into the dog’s mouth but without hurting it. The princes were astounded by the skill of the archer and went back and narrated the story to Guru Drona. Arjuna complained to Guru Drona that he had failed his promise to make him the best as Eklavya was the better archer."
576,What did Drona ask Eklavya to give as guru dakshina?,"Drona was told of Eklavya’s great skill as an archer. Arjuna was upset that Dronacharya has not kept his promise to make Arjuna the greatest archer. Drona came to the forest to meet Eklavya. He found out that Eklavya used to practice next to his clay idol, which he treated as his guru. Drona was quick to latch on to this and ask for guru Dakshina. He asked for Eklavya’s right thumb which would cripple his future as an archer. This is a story of dubious ethical dimensions and is used to suggest that a lower status Nishaada archer was disadvantaged at the hands of a Kuru prince. The story is bit more complex than that. Eklavya was the prince of Nishaadas who had their own kingdom and not a low status person. His father was the general of Jarasandha, the king of Magadha. It was perhaps Drona’s anxiety to meet his promise to his employers that drove him to the macabre act. We don’t know. But this act again brings out the negative characteristics of Drona’s character."
577,"After the end of education of Kuru princes, a talent show was organized to showcase their skills. Who gatecrashed the event?","The Kuru princes were displaying their skills at the talent show. Arjuna was obviously the best. Suddenly, a dashing warrior wearing armour (kavach) and ear-rings (kundala) appeared and challenged Arjuna. He matched the feats of Arjuna and asked for one on one competition. He was asked whether he was a prince as the event was open to princes only. At this question, Karna hung his head. Adiratha the charioteer came in and it was clear that he was Karna’s father. Bheema started insulting Karna’s family background. It was then the event was called off. Later, everyone would know that Karna was Kunti’s son and the brother of the Pandavas. But that is another story."
578,Duryodhana made Karna the king of which kingdom?,"When Karna came to the talent show uninvited, Duryodhana immediately recognized that Karna could be a useful ally. When he came to know that Karna could not participate because he was not a prince, he immediately made Karna the king of Anga. This kingdom is on the border of present day Bihar & W Bengal. But we know that Duryodhana was not eligible to make the donation of this kingdom. We don’t know if Hastinapur was the overlord of Anga. In any case, Duryodhana was only a prince and could not declare anyone king. What we know is that it was not a good gift. A good gift (sattav-dana) is when it is made without expecting anything in return. A moderate gift, Rajas-dana is when a gift with some specific return in mind. A bad gift, Tamas-dana is a gift made to an undeserving person."
504,Vyasa means reorganizer. What did Vyasa reorganize?,Vyasa means reorganizing. Ved Vyasa reorganized and compiled the Vedas into four parts. He taught one Veda each to four of his students and tasked them with the propagation. His name is Krishna Dvaipayana. Dvaipayana refers to him having been born on an island. Dvaipa means an island. Vyasa also means diameter of a circle and the longest line that can be drawn across the circle. This is also interpreted to mean that Vyasa covers the entire earth in Mahabharata.
505,Vyasa was a prolific composer also. Which of these works is NOT authored by him?,Vyasa composed a massive corpus. He composed the mahapuranas. He also composed the Brahmasutras which are summaries of the Vedanta and guide to life. Upanishads are a part of the Vedic corpus and were not composed by Ved Vyasa..
506,Mahabharata is the longest epic in the world. How many verses does Mahabharata have?,"Mahabharata has one lakh (i.e a hundred thousand) verses. The critical edition of Mahabharata removed several verses that were not considered part of the original text. It still is a mammoth 80,000 verses. There are four other epics in the world, including Ramayana. Mahabharata is longer than all other epics put together."
507,What does Maha mean in Mahabharata?,"Maha means large. It truly captures the mammoth nature of the work. It is not just long in length, but also in its coverage. It describes a large geography from east to west. It also covers the entire lineage of Bharata kings, stretching across 48 generations. There are also hundreds of sub stories within Mahabharata. It even includes a summary of Ramayana within it."
508,Which is called Panchamaveda?,"Mahabharat contains the essence of all Vedas in story form. Therefore, it is also referred to as Panchama Veda, or the fifth Veda."
509,Ma Dhvayam Bha Dhvayam… What does this sloka mean?,"There are 18 Mahapuranas. This verse helps us remember the names of the Mahapuranas. It means 2 Pruanas starting with Ma - Matsya and Markandeya. 2 Puranas starting with Bha - Bhavishya and Bhagavata 3 Puranas starting with Bra - Brahma, Brahmanda and Brahma Vaivarta 4 Puranas starting with Va - Vayu, Vamana, Vishnu and Varaha 7 purana each starting with other letters - Agni, Narada, padma, Linha, Garuda, Kurma and Skanda."
510,How many Mahapuranas are there,"There are 18 Mahapuranas. In addition there are 18 upapuranas which are lesser known. Several other compilations are also referred to as Puranas, outside of the Mahapurana and Upapurana categories."
511,Which of these is a name for Mahabharata?,Jaya is one of the older names for Mahabharata. Jaya means victory.
512,Jaya means victory. Whose victory does the term describe?,"Jaya refers to the victory of Dharma. Whether Pandavas win or Kauravas win is irrelevant. Whichever side is with Dharma that wins.Yato Dharmastato Jayaḥ is a phrase that is in Mahabharata and it means, Where there is Dharma, there will be Victory. This phrase is so powerful that it has been adopted as the motto of the Supreme Court of India."
513,Naimisaranya is where Mahabharata is narrated. Where is Naimisaranya?,"Naimisaranya is near Lucknow in Uttar Pradesh. It is on the banks of the Gomati river. Naimisaranya is the place where Mahabharata is narrated by Ugrashrava Sauti. Naimisaranya is one of the most sacred tirthas of India. It was abode of tens of thousands of Rishis. The Ramayana, the Mahabharata and puranas are all believed to have been recited here."
514,Ugrashrava Sauti narrates Mahabharata. What does the name Suta mean?,"Story telling was serious profession in olden days. The profession of story telling was Important in the propagation of itihaas. This practice also maintained the authenticity of the narration across generations. The earliest story tellers were Rama’s sons Luv and Kusha. In fact, Rama hears the story of Ramayana from his sons, though he does not know that they are his sons. This tradition of professional story telling still continues now in the form of Hari Katha."
515,What does Critical Edition do?,"Critical Edition refers to a version of ancient texts. A critical edition attempts to recreate the original version of the text, discarding insertions that may have been made over a period of time and in different languages. It involves three very important and tedious steps. It collects all versions of the text from various sources and languages. A group of experts make judgements on which verser are authentic and which are later day interpolations. Finally, the authentic version is published, with all the other versions of each verse and comments included separately. The Bhandarkar Oriental Research Institute compiled the Critical Edition of Mahabharata. It was a giant research project with research conducted over five decades consulting 1,259 manuscripts. The Critical Edition of the Mahabharata has 89000+ verses and is published in 19 Volumes with over 15000 large size pages."
516,Which books are NOT recommended reading?,"It is important to read books where the writing and spirit of the original author are reproduced faithfully. When an author injects his own interpretations and value systems, then the reader is being given a different version from what the original author intended."
517,Which narration are we reading when we read Mahabharata,"We did not hear Mahabharata directly from Ved Vyasa. Ved Vyasa narrated Mahabharata to his student Vaisampayana first. Vaisampayana then narrates the Mahabharat to King Janamejaya. Ugrashrava Sauti who was present at the occasion hears the narration and then travels to Naimisharanya. Here he meets Rishi Saunaka and countless other Rishis. He narrates Mahabharat to the gathering of Rishis. This narration is what we read. Thus, it would be the third narration, the first being to Vaisampayana, the second being to Janamejaya and the third being to the Rishis."
579,Which of these is not the name of Draupadi?,"Drupada takes a vow that he will have two children, a Son who will defeat Drona and a daughter who will marry Arjuna. He performed a Yaga and two children were born, Drishtadyumna and daughter Draupadi. Draupadi’s other names are Krishnaa, Yaajnaseni (because she was the daughter of Draupada who was also called Yaajnasena) and Paanchaali (because she is from the kingdom of Paanchaala)."
580,Who did the people of Hastinapura want as their King?,"Hastinapura people started saying they want Pandavas, especially Yudishtira to be their Kings. Duryodhana started becoming jealous since his father had lost out on being a King because he was blind. Now he and his brothers are also losing out."
581,Who was Duryodhana most jealous of?,"Duryodhana had been jealous of Bheema since the young age. He wanted to kill Bheema. They tried several ways to kill Bheema, including drowning him in the river. They also tried poisoning him."
582,Where did Duryodhana decide to send Pandavas to?,People realized Kauravas are jealous of Pandavas and that they cannot be good Kings. Duryodhana learns this through a spy. He decides that Pandavas have to be driven away. Duryodhana says let us send them away to Varanavata. A Yatra celebration of Pashupati (Shiva) was about to happen there. He decided to build a palace from wax in Varanavata where Pandavas would stay and to later on burn the palace.
583,Yatra is held for what reason?,"The deity is brought out so that people who cannot visit due to old age or handicap can have Darshana of the deity. The Puri Jagannath Yatra is one of the famous Yatras of India. Almost all temples in South India have a Rath Yatra. The story of Mahabharata is 5000 years old. Yatra Mahotsava used to happen even at that time. If you visit Udupi, you can see the Rathaveethi around the SriKrishna temple. You can about some famous Yatras through a quiz at https://indiyatra.in/rath-yatra-quiz/"
584,Who warned Yudhishtira about the plans to kill Pandavas in Varanavata?,"Vidura is also the uncle of Pandavas, as well as Kauravas. He informs Yudhisthira in a coded language. Only Vidhura and Yudhisthira could understand this language. While in Varanavata, Kunti asks Yudhishtira what had Vidura told him. Bheema and Yudhishtira realise that the palace is made of wax."
