snippet_key,hook,explanation
334,"What are Kal Baisakhis, Coffee Shower and Mango Shower?","There are large areas in India, such as Assam and Bengal, which experience violent thunderstorms in the pre-monsoon months of April and May. These are the well known Nor Westers or Kal Baisakhis, meaning a mass of dark clouds in the month of Baisakh. The rainfall is convective and can be as much as 5 cm in an hour but the rainfall is generally of short duration._x000D_ _x000D_ Pre monsoon showers in Kerala are known as Coffee Showers. In Karnataka they are called Mango Showers. These help ripen the crop._x000D_ _x000D_ Picture: Monsoon mist and clouds over Beas river at Mandi, Himachal Pradesh_x000D_ _x000D_ Source: The Monsoons, P.K.Das_x000D_ _x000D_ Picture Credit: S. R. Ramanujam"
335,The English astronomer Halley explained what causes monsoons. He is also famous for another discovery. What was it?,"The English astronomer Edmond Halley noticed the similarity between the monsoon and the land or sea breeze. He ascribed the monsoon winds to the movement of the Sun from the equator to the tropic and the consequent heating of land; and to the differential heating between land and ocean. Just like the sea breeze and land breeze._x000D_ _x000D_ He also identified that repeated appearances of comets to the naked eye in earth are visits of the same comet. The comet was named after him as Halley's comet. Interestingly, the last visit of Halley's comet was in 1986, exactly three hundred years after he published his theory on the cause of monsoons. The comet would next be visible in 2061._x000D_ _x000D_ Picture: Monsoon is the lifeline of the otherwise snowclad and remote Lahaul Valley, Himachal_x000D_ _x000D_ Source: The Monsoons, P.K.Das_x000D_ _x000D_ Picture Credit: S. R. Ramanujam"
336,Vassa is the monsoon season in Buddhism. Why do Buddhists (and some Jains) forbid monks from traveling in monsoon season?,"Wandering monks were common in India. However during the rainy season monks may end up crushing green herbs, vegetative life and little living creatures. The sacred canon of Theravada Buddhism, Vinaya Sukta, explicitly states that all bhikshus (Buddhist monks or devotees) are to enter Vassa, a three–month annual retreat. During this period (rainy season), the monks are to stay in one place. Vassa was practiced even among Jains and other Sramana sects like Ajavikas._x000D_ _x000D_ Picture: Jog Falls on a lean monsoon day, Karnataka_x000D_ _x000D_ Source: Dimri AP et al. 2022. Monsoon in history and present. Journal of Palaeosciences 71(1): 45–74._x000D_ _x000D_ Picture Credit: S. R. Ramanujam"
337,Varshamana is an ancient instrument described in Arthashastra. What is it used for?,"Kautilya’s Arthasastra (50–125 CE) refers to Varshamana. It gives instructions for setting up a rain guage or Varshamana. ""In (front of) the store-house a bowl (kunda) with its mouth as wide as an aratni (24 angulag) shall be set up as rain-gauge (varshamána).""_x000D_ _x000D_ It also provides a description of various types of rain clouds and a simplistic method for forecasting rains._x000D_ _x000D_ Picture. DudhSagar falls on the Karnataka - Goa border_x000D_ _x000D_ Source: Kautilya's Arthashastra, R. Shamasastry._x000D_ _x000D_ Picture Credit: S. R. Ramanujam"
338,The Thar desert plays an important role in Indian monsoons. How?,"Himalayas keep the Indian land mass warm by blocking the cool air from the North. The Thar Desert is also a vital feature. The extreme heat in the Thar Desert generates a low pressure region as the hot air rises. This draws the monsoon winds towards the north west of India, advancing the monsoon._x000D_ _x000D_ Source: Lectures of Professor Ojha, Allahabad University_x000D_ _x000D_ Picture Credit: Wikimedia Commons"
339,A Rig Vedic hymn welcoming monsoons features an animal that aestivates - that buries itself in sand and wakes up with the rain. Which animal is featured?,"Rig Veda has the famous Frog Hymn. It describes the onset of the rainy season with the croaking of frogs. In tropical countries, frogs bury themselves in sand during summer and await the rains. They emerge with the coming of rains and croak in chorus. The Frog Hymn describes the emergence of frogs and their behaviour at the advent of rains. The hymn also mentions the riches that frogs will deliver, an allusion to rains which will revive the earth and grant all riches._x000D_ _x000D_ Even today, Jyapus, the farmers of the Kathmandu valley, perform frog worship during the rainy season in order to secure their harvest. The Jyapu puts cooked rice and beans in the cavity of four clay containers resembling the figure of a frog. Then the Jyapu places the containers or the leaves in the four corners of his field. He stands in the middle of the field, looks upward and praises the frogs “O frogs, last year you have provided for us with plenty of rice and other grains. This year too give us plenty.” The concept of this simple ritual is almost exactly as that of the Ṛgvedic Frog Hymn._x000D_ _x000D_ Picture: Ganga on a clear monsoon day, upstream of Rishikesh_x000D_ _x000D_ Source: The Rig Veda, Bibek Debroy and Dipavali Debroy._x000D_ _x000D_ The Adaptation of Monsoonal Culture by Ṛgvedic Aryans: A Further Study of the Frog Hymn. Gautama V. Vajracharya_x000D_ _x000D_ Picture Credit: S. R. Ramanujam"
340,The discovery of Hippalus wind revolutionized sea trade. The wind offers a direct sea route to India. Which is the starting point for this sea route?,"Hippalus was a Greek navigator who discovered a direct sea route from Red Sea to India, aided by the South West monsoon. This route would sail to India directly across the Indian ocean. The earlier practice was to ply along the coast which would take a longer time. The direct route also allowed the traders to return the same year when the wind reverses direction during the north wast monsoon. In his honour, the south west monsoon was named Hippalus wind. The Periplus of the Erythraen Sea, a first century navigational text, describes this legacy._x000D_ _x000D_ Though the reference to Hippalus wind is documented, there are doubts whether Hippalus was a historical figure. It is possible that this legacy is only a foundation myth._x000D_ _x000D_ Source: The Birth of the Monsoon Winds: On the Existence and Understanding of Hippalus, and the “Discovery” of the Apogeous Trade Winds. Scott Vincent Hatcher_x000D_ _x000D_ Picture Credit: Wikmedia Commons"
341,El Nino phenomenon is connected to monsoons. It is also connected to Christmas. How?,"El Nino in Spanish means ""The Child."" This event refers to unusual warming of waters off the coast of Peru. It reduces the yield of fish and is known to increase the probability of a weak monsoon in the succeeding year. This event normally occurs around Christmas. The phrase El Nino refers to the ""The Child"" or the birth of Jesus._x000D_ _x000D_ Picture: The slopes of Matheran on a velvet green monsoon day, Maharashtra_x000D_ _x000D_ Source: The Monsoons, P.K.Das_x000D_ _x000D_ Picture Credit: S. R. Ramanujam"
342,Monsooned Malabar is a special coffee variety which has a GI tag. Why it is called so?,"India's most unusual coffee is Monsooned Malabar. It is coffee that has been exposed for three or four months to the moisture laden winds of the monsoon. The process swells and yellows the bean, reduces acidity and imparts a heavy, deep, syrupy sweetness to the cup. They also acquire mustiness. Monsooned Malabar has acquired a Geographical Identification (GI) tag. Monsooning was originally devised by Indian exporters to produce a cup similiar to Old Brown Java coffees, which were similiarly transformed in taste by exposure to salt air and moisture in the hulls of wooden sailing ships on their voyage from Java to Europe. Picture: Kedarnath on a clear monsoon morning Source: Coffee, A guide to buying, brewing and enjoying. Kenneth Davids Picture Credit: S. R. Ramanujam"
307,"If the Yatris are singing the popular bhajan ""Mata Ne Bulaya Hai,"" or ""Çhalo Bulawa Aaya Hai,"" where are they likely to be headed?","It is a belief that the Divine Mother herself calls her children to visit her and receive her blessings. Therefore the phrase ""Bulawa Aaya Hai."" Shri Mata Vaishno Devi Ji resides in a Holy Cave located in the folds of the three peaked mountain named Trikuta in the Jammu region. She is the collective embodiment of all three Devis, Saraswati, Lakshmi and Kali. Vaishnavi is in the form of a five and a half feet rock with three heads or pindis (petrified stone) representing the three Devis. A geological study of the Holy Cave has indicated its age to be nearly a million years. This shrine, like with many others, is associated with the itihasa purana tradition. The Pandavas of the Mahabharata are said to have invoked the Mother for victory. Overlooking the cave are five stone structures associated with the five brothers. Perhaps the oldest reference of a visit by a historical figure to the Holy Cave is that of Guru Gobind Singh. The 14 km Yatra has been a part of several film songs and Bhajans. Gulshan Kumar, the founder of T Series, popularised Vaishno Devi with his philanthropy and collection of songs. Source: Sacred Landscape and Pilgrimage to Vaishno Devi, Abha Chauhan www.maavaishnodevi.org Picture Credit: Travel Triangle"
