snippet_key,hook,explanation
64,"This temple is a World Heritage site. In spite of the main temple having collapsed, it still remains an architectural masterpiece. Which temple is this?",The Sun Temple of Konark was built in the 13th century. It was conceived as a gigantic solar chariot with 12 pairs of exquisitely ornamented wheels dragged by seven horses. It originally consisted of a Shikhara and Jagmohana. The Shikara is now collapsed and only the Jagmohana is intact though with severe damage.
65,This town has a unique Dusssehrah celebration where more than two hundred deities from the region congregate in the city centre for seven days. Which town is this?,"The Kullu Dussehrah starts on Vijayadasami, the day when it ends in rest of India, and continues for a week after that. Each year about 225 Devtas arrive on foot to Kullu, carried by their own villagers. They are invited by the presiding deity of the region, Lord Raghunathji. The Rath Yatra of Lord Raghunathji kicks off the week long celebration. Each Devta has a designated area in the city centre and the villagers accompanying the Devta create a makeshift tent with kitchen and staying area. For a week, the entire city centre resembles a massive temple complex."
15,The industrial group of Birlas built several temples in modern India. This is one among them. Where is this hillock temple?,"The Lord Venkateshwara temple is one of Hyderabad’s holiest temples. The temple was built in 1976 on Neeladri hills of Hyderabad at an elevation of about 300 feet.. A towering, nine-and-a-half feet high idol of Lord Venketshwara in black granite is enshrined in the main Garbhagriha. The imposing 51 feet Rajagopuram, designed with South Indian influences, is an added attraction._x000D_ _x000D_ The temple projects the concept of universality and unity of religions and universal brotherhood among all religions through panels devoted to Guru Nanak Dev, Guru Gobind Singh, Lord Buddha, Bhagawan Mahaveera and Jesus Christ. People of all religion, race, caste and creed are free to visit the temple."
16,Karnataka has a significant Jain population and has many Jain pilgrimage centres. This is one among them. Which city is this?,Karkala is near Mangalore. It attained political and cultural importance from the time of Kalasa-Karkala or Bhairarasa Odeyas (13th to 16th century AD). Jainism gained popularity during this period in centres such as Moodibadri and Karkala. The Chaturmukha Basti was built around 1586 AD. This is the most celebrated structural temple in Karkala and is referred to as Tribhuvana-tilaka-Jina-Caityalaya. The basti has four identical looking entrances from the four quarters leading to the garbhagriha and hence is popularly known as 'Chaturmukha Basti'. The Chaturmukha Basti is built in the form of a square mandapa. It has life size statues of three Tirthankaras besides small images of 24 Tirthankaras and Padmavati Yakshi in black stone.
17,This hanuman temple at hilltop is at one of India's popular tourist locations. Which city is this?,"The Jakhoo temple is at the top of the ridge and is the highest point in Shimla. It marks the place where Hanumanji heard Sage Yakoo’s chanting and stopped, before resuming his search for Sanjeevini. The temple complex has a 108 feet tall Hanumanji who looks down at the mall road and Shimla ridge below. The sunrise and the sunset are fabulous at Jakhoo. The slanting rays break through the tree leaves to light up the saffron coloured temple walls from different angles."
18,This is one of the most picturesque locations of a Shakti temple and has written accounts of cannibalism. Where is this temple?,"Sarahan marks the killing of King Banasur by Lord Krishna and the kingdom that Krishna’s son, Pradyumna, started. It is deemed to have had an uninterrupted reign till modern times. The Bhimkali temple is one of the 51 Shaktipeeths (as per local belief though it is not formally recognised as one) and Sati’s ear is supposed to have fallen here. The temple also has a fearsome reputation of human sacrifice until 17th century, which travellers have written about. The temple is mix of stone, wood and slate, it both stands out and blends into the landscape."
19,This is a Shakti temple that is almost 1300 years old. It is in a remote location and not part of major travel routes. Where is this temple?,The Hateshwari temple is at Hatkoti between the Uttarkashi and the Shimla districts. There are five near identical stone temples that are called Pandavas’ toys. These are in the Nagara style. The temples of Hateshwari (Mahishasuramardini) and Shiva are in the pent roof style. The deity and inscriptions are dated around 1300 years old. The varying styles themselves indicate centuries of history around this temple complex.
20,India has a number of step wells. Many of them are linked with a temple. This five storey step well is in the vicinity of a major town in India. Can you recognise the step well and guess where is located.,"Adalaj step well is on the outskirts of Ahmedabad, about 20 kms from the city centre. The step well is about 600 years old. It was started by Queen Rudabai and completed by the conqueror of her kingdom Mahmud Begada."
21,This cave complex is one of the most well known in India. It is also a World Heritage Site. Which complex is this?,"Ajanta caves are near Aurangabad in Maharashtra. The caves, famous for their murals, are also great examples of sculptures. The caves were excavated in different periods (circa. 2nd century B.C. to 6th century A.D.) In all, total 30 excavations were hewn out of rock. The caves were both living quarters and worship areas."
22,This Shiva temple is in the suburbs of a major city of India. Its architecture is unique and it has thousand years of history. Near which city is this temple?,"The temple is in Ambernath, a suburb of Mumbai which is connected by the local train network. It was built by King Mahamandaleshwar of the Shilahar dynasty at the beginning of the last millennium. It is built in the style of Hemadpanthi temples which is a subset of the Vesara style. The temple has a mandapa with entrance on three sides. The Shivling is considered Swayambhu (naturally formed) and is set about 8 feet below."
23,This temple for Rama is located on the banks of one of India's major rivers. Here Lord Rama appears not in human form but as Vaikuntha Rama with four hands. Can you guess where this temple is?,"Badrachalam is on the banks of the river Godavari. It is considered as one the places where Lord Rama lived. It is also believed that Sita was abducted by Ravana from Badrachalam, a belief which is also attributed to Nashik. Unlike in other places, Lord Rama appears with four hands, carrying traditional bow and arrow; and also Sankha and Chakra, characteristic of Lord Vishnu."
24,The Char Dhams of Himalayas are a major pilgrimage route. Which of the Char Dhams of Himalayas is this temple?,"The original Char Dham Yatra covers Badrinath, Puri, Rameswaram and Dwarka. The Char Dhams of Himalayas are called Chota Char Dhams. Dham means the abode of God. Badrinath is part of the original Char Dham as well as the Chota Char Dham of Himalayas."
45,This glacier is the source of one of the grandest rivers of India. Which river is this?,"Gaumukh is the mouth of river Baghirathi. It is about 18 kms away from Gangotri and requires a long walk on glacial moraine. At Gaumukh, Baghirathi emerges from the glacier as a river. Gaumukh is a sacred pilgrimage."
46,This temple is a successor in architecture to another well known temple. Both these temples are part of World Heritage sites of India. Which temple is this?,"The temple at Gangaikonda Cholapuram is a short distance away from the Big Temple at Tanjore. It is built by Rajendra Chola, the son of Raja Raja who built the Big Temple. Is commemorates the conquest of the gangetic region by Rajendra Chola. Its architecture is similar to that of the Big Temple and it slightly shorter than the Big Termple, in deference to Raja Raja. Both these temples, along with Darasuram temple, are part of the Living Chola Temples in the UNESO World Heritage list."
47,Which well known Sikh pilgrimage site is this?,The Harmandir Saheb or Golden Temple is the holiest of the Sikh temples and is in Amritsar.
48,These rock sculptures mark a sacred site for Jains. In which city are you likely to find these?,The Gwalior Fort is atop a cliff. The Jain community had carved immense sculptures on the vertical rock faces of the hill. These are spread over five locations around the fort. These sculptures date to 15th century AD though some of them are believed to be from the 7th Century AD. These are immense in size but were destroyed by the army of Babur. Jains continue their worship in some of the sites.
